Date,Transaction_Type,Category
1/9/2023,Output,Category A
1/9/2023,Output,Category A
1/9/2023,Output,Category C
1/9/2023,Output,Category A
1/9/2023,Output,Category C
1/9/2023,Output,Category A
1/9/2023,Output,Category B
1/9/2023,Output,Category A
1/9/2023,Output,Category A
1/9/2023,Output,Category A
2/9/2023,Output,Category B
2/9/2023,Output,Category C
2/9/2023,Output,Category B
2/9/2023,Output,Category C
2/9/2023,Output,Category B
2/9/2023,Output,Category B
2/9/2023,Output,Category B
2/9/2023,Output,Category A
2/9/2023,Output,Category B
2/9/2023,Output,Category B
3/9/2023,Output,Category B
3/9/2023,Output,Category C
3/9/2023,Output,Category C
3/9/2023,Output,Category A
3/9/2023,Output,Category A
3/9/2023,Output,Category C
3/9/2023,Output,Category C
3/9/2023,Output,Category C
3/9/2023,Output,Category C
3/9/2023,Output,Category A
4/9/2023,Output,Category B
4/9/2023,Output,Category C
4/9/2023,Output,Category C
4/9/2023,Output,Category A
4/9/2023,Output,Category A
4/9/2023,Output,Category B
4/9/2023,Output,Category C
4/9/2023,Output,Category A
4/9/2023,Output,Category C
4/9/2023,Output,Category A
5/9/2023,Output,Category C
5/9/2023,Output,Category A
5/9/2023,Output,Category C
5/9/2023,Output,Category A
5/9/2023,Output,Category A
5/9/2023,Output,Category A
5/9/2023,Output,Category C
5/9/2023,Output,Category B
5/9/2023,Output,Category A
5/9/2023,Output,Category B
6/9/2023,Output,Category B
6/9/2023,Output,Category A
6/9/2023,Output,Category A
6/9/2023,Output,Category C
6/9/2023,Output,Category A
6/9/2023,Output,Category A
6/9/2023,Output,Category A
6/9/2023,Output,Category A
6/9/2023,Output,Category B
6/9/2023,Output,Category C
7/9/2023,Output,Category B
7/9/2023,Output,Category A
7/9/2023,Output,Category C
7/9/2023,Output,Category B
7/9/2023,Output,Category A
7/9/2023,Output,Category B
7/9/2023,Output,Category A
7/9/2023,Output,Category C
7/9/2023,Output,Category B
7/9/2023,Output,Category A
8/9/2023,Output,Category A
8/9/2023,Output,Category A
8/9/2023,Output,Category A
8/9/2023,Output,Category B
8/9/2023,Output,Category A
8/9/2023,Output,Category A
8/9/2023,Output,Category A
8/9/2023,Output,Category A
8/9/2023,Output,Category B
8/9/2023,Output,Category B
9/9/2023,Output,Category B
9/9/2023,Output,Category C
9/9/2023,Output,Category B
9/9/2023,Output,Category A
9/9/2023,Output,Category A
9/9/2023,Output,Category C
9/9/2023,Output,Category C
9/9/2023,Output,Category A
9/9/2023,Output,Category C
9/9/2023,Output,Category A
10/9/2023,Output,Category B
10/9/2023,Output,Category B
10/9/2023,Output,Category C
10/9/2023,Output,Category B
10/9/2023,Output,Category A
10/9/2023,Output,Category B
10/9/2023,Output,Category C
10/9/2023,Output,Category B
10/9/2023,Output,Category B
10/9/2023,Output,Category C
11/9/2023,Output,Category B
11/9/2023,Output,Category B
11/9/2023,Output,Category B
11/9/2023,Output,Category B
11/9/2023,Output,Category A
11/9/2023,Output,Category C
11/9/2023,Output,Category B
11/9/2023,Output,Category A
11/9/2023,Output,Category A
